url,status_code,title,h1,canonical,page_type,current_theme,v2_template,notion_source,source_priority,preview_slug,uses_hs_form,uses_video_embed,notes
https://www.kuulu.fi/,200,Kuulu - Digimarkkinointi- ja videotoimisto,Kukaan ei klikkaa. Ja kauppa käy.,https://www.kuulu.fi,homepage,cinematic-uusi,homepage-v2,Etusivu / Kuulu etusivu draft,live + notion + pdf,/v2-etusivu,yes,yes,Master page for Zero Click growth engine.
https://www.kuulu.fi/koulutus,200,"Koulutukset Kuulu: somekoulutus, digimarkkinointi- ja tekoälykoulutus",Inspiroidu. Kehity. Kuulu kouluttaa.,https://www.kuulu.fi/koulutus,training,legacy-vaalea,training-landing-v2,Koulutus,live + notion + pdf,/v2-koulutus,no,yes,Should foreground competence gap and practical outcomes.
https://www.kuulu.fi/tekoalyn-mestarikurssi,200,Tekoälyn mestarikurssi,Tekoälyn mestarikurssi,https://www.kuulu.fi/tekoalyn-mestarikurssi,training,legacy-vaalea,training-landing-v2,,live + brand,/v2-tekoalyn-mestarikurssi,no,yes,AI flagship training page.
https://www.kuulu.fi/tekoalyn-perjantaipulssi,200,Tekoälyn Perjantaipulssi,Kuukausittainen tekoälykoulutus: Tekoälyn Perjantaipulssi,https://www.kuulu.fi/tekoalyn-perjantaipulssi,training,legacy-vaalea,training-landing-v2,,live + brand,/v2-tekoalyn-perjantaipulssi,no,yes,Recurring training / pulse concept.
https://www.kuulu.fi/zero-click-ajan-digimarkkinointi,200,Zero click -ajan digimarkkinointi,zero click -ajan digimarkkinointi,https://www.kuulu.fi/zero-click-ajan-digimarkkinointi,training,muu/sekalainen,training-landing-v2,,live + pdf,/v2-zero-click-ajan-digimarkkinointi,yes,no,Deep anchor page for Zero Click framework.
https://www.kuulu.fi/digimarkkinointi,200,Digimarkkinointi Oulu ja Helsinki - Kuulu,Näy. Kuulu. Tee tulosta.,https://www.kuulu.fi/digimarkkinointi,service,legacy-vaalea,service-landing-v2,Digimarkkinointi (placeholder),live + pdf,/v2-digimarkkinointi,no,yes,Should map to pullonkaulat and system logic.
https://www.kuulu.fi/energia-alan-markkinointi,200,Menesty energia-alan markkinoinnissa,Menesty energia-alan markkinoinnissa,https://www.kuulu.fi/energia-alan-markkinointi,service,legacy-vaalea,service-landing-v2,,live + brand,/v2-energia-alan-markkinointi,no,yes,Verticalized service page.
https://www.kuulu.fi/someagentti-eli-somekanavien-auditointi,200,Someagentti eli somekanavien auditointi,Kuulun Someagentti,https://www.kuulu.fi/someagentti-eli-somekanavien-auditointi,service,legacy-vaalea,service-landing-v2,,live + pdf,/v2-someauditointi,no,yes,Audit / startti-type service.
https://www.kuulu.fi/google-ads-mainonta,200,Google Ads -mainonta,Google Ads -mainonta,https://www.kuulu.fi/google-ads-mainonta,service,legacy-vaalea,service-landing-v2,,live + brand,/v2-google-ads-mainonta,no,yes,Demand capture / 5 percent audience page.
https://www.kuulu.fi/videotuotanto,200,Videotuotanto - Kuulu,Muut myyvät videoita. Me myymme tuloksia.,https://www.kuulu.fi/videotuotanto,video-service,cinematic-uusi,video-service-landing-v2,Kuulu Videotuotanto — Sivuteksti v1,live + notion + pdf,/v2-videotuotanto,no,yes,Must show captured / hybrid / AI production models.
https://www.kuulu.fi/brandivideo,200,Brändivideot - Kuulu,"Brändivideo, joka koskettaa",https://www.kuulu.fi/brandivideo,video-service,legacy-vaalea,video-service-landing-v2,,live + brand,/v2-brandivideo,no,yes,Premium captured storytelling angle.
https://www.kuulu.fi/tv-mainos-tuotanto,200,TV-mainostuotanto - Kuulu,TV-mainos lisää näkyvyyttä ja vahvistaa brändiä,https://www.kuulu.fi/tv-mainos-tuotanto,video-service,cinematic-uusi,video-service-landing-v2,,live + brand,/v2-tv-mainos-tuotanto,yes,yes,Already closer to cinematic style.
https://www.kuulu.fi/videotuotanto_vanha,200,Videotuotanto - Kuulu,"Videoita, joilla menestyt.",https://www.kuulu.fi/videotuotanto_vanha,video-service,legacy-vaalea,video-service-landing-v2,,live,/v2-videotuotanto-vanha,no,yes,Decide later: preserve as legacy page or redirect.
https://www.kuulu.fi/case-studies,200,Asiakasreferenssit,Asiakasreferenssit,https://www.kuulu.fi/case-studies,reference-index,muu/sekalainen,reference-index-v2,Asiakas caset (placeholder),live + brand,/v2-case-studies,no,no,Primary case index for structured filtering.
https://www.kuulu.fi/asiakasreferenssit,200,Kuulun referenssit,Hyvä työ kuuluu kauas - Kokemuksia Kuulusta,https://www.kuulu.fi/asiakasreferenssit,reference-index,legacy-vaalea,reference-index-v2,Kokemuksia Kuulusta (placeholder),live,/v2-asiakasreferenssit,no,yes,May remain separate editorial index or be consolidated later.
https://www.kuulu.fi/yhteystiedot,200,Yhteystiedot Kuulu Oy,Ota yhteyttä,https://www.kuulu.fi/yhteystiedot,company-info,legacy-vaalea,company-info-v2,Ota yhteyttä (placeholder),live + brand,/v2-yhteystiedot,no,yes,"High-trust conversion page with people, offices and forms."
https://www.kuulu.fi/tietosuojaseloste,200,Tietosuojaseloste,Tietosuojaseloste,https://www.kuulu.fi/tietosuojaseloste,legal,legacy-vaalea,legal-v2,,live,/v2-tietosuojaseloste,no,yes,"Simple legal page, no overdesign."
https://www.kuulu.fi/tekoaly-markkinoinnin-ja-myynnin-tukena,200,Tekoäly markkinoinnin ja myynnin tukena -koulutukset,Tekoälyn hyödyntäminen markkinoinnissa ja myynnissä -koulutukset,https://www.kuulu.fi/tekoaly-markkinoinnin-ja-myynnin-tukena,training,legacy-vaalea,training-landing-v2,,live + pdf,/v2-tekoaly-markkinoinnin-ja-myynnin-tukena,no,yes,AI skills page tied directly to current market shift.
https://www.kuulu.fi/ihmiset/jonna-muurinen,200,Jonna Muurinen,Jonna Muurinen,https://www.kuulu.fi/ihmiset/jonna-muurinen,person-profile,legacy-vaalea,person-profile-v2,,live + brand,/v2-ihmiset-jonna-muurinen,no,yes,"Remove blog feed dependency, keep authority and CTA."
